,visitors,visit_date,visitor_home_lga,year,month,device_weight,estimate
81,274,4/01/2020,Brisbane,2020,1,8.392675743,2299.593154
82,274,4/01/2020,Brisbane,2020,1,6.550381068,1794.804412
83,274,4/01/2020,Brisbane,2020,1,8.306153312,2275.886008
84,413,5/01/2020,Brisbane,2020,1,8.728028175,3604.675636
85,413,5/01/2020,Brisbane,2020,1,3.91363541,1616.331424
86,413,5/01/2020,Brisbane,2020,1,1.915908624,791.2702616
87,413,5/01/2020,Brisbane,2020,1,5.834119629,2409.491407
88,413,5/01/2020,Brisbane,2020,1,6.009462022,2481.907815
89,413,5/01/2020,Brisbane,2020,1,3.818512327,1577.045591
90,413,5/01/2020,Brisbane,2020,1,6.042481044,2495.544671
91,413,5/01/2020,Brisbane,2020,1,5.596598219,2311.395065
92,413,5/01/2020,Brisbane,2020,1,7.55829244,3121.574778
93,413,5/01/2020,Brisbane,2020,1,6.126638162,2530.301561
94,413,5/01/2020,Brisbane,2020,1,4.103475933,1694.73556
95,413,5/01/2020,Brisbane,2020,1,5.430773087,2242.909285
96,413,5/01/2020,Brisbane,2020,1,4.699707479,1940.979189
97,413,5/01/2020,Brisbane,2020,1,6.266276639,2587.972252
98,413,5/01/2020,Brisbane,2020,1,4.75046026,1961.940087
99,413,5/01/2020,Brisbane,2020,1,4.791858606,1979.037604
